date,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,shortwave_radiation_sum,state,latitude,longitude,data_type
2025-11-03 06:00:00+00:00,29.258501,21.6585,0.1,18.329092,19.52,Campeche,19.8414,-90.5328,daily
2025-11-04 06:00:00+00:00,29.3585,18.2085,0.2,16.427402,19.56,Campeche,19.8414,-90.5328,daily
2025-11-05 06:00:00+00:00,29.508501,20.9085,0.5,11.832176,18.04,Campeche,19.8414,-90.5328,daily
2025-11-06 06:00:00+00:00,30.258501,22.008501,3.7,11.364259,17.73,Campeche,19.8414,-90.5328,daily
2025-11-07 06:00:00+00:00,30.1085,21.5585,1.5,10.4166975,18.89,Campeche,19.8414,-90.5328,daily
2025-11-08 06:00:00+00:00,31.9085,22.1085,0.3,9.54,18.78,Campeche,19.8414,-90.5328,daily
2025-11-09 06:00:00+00:00,32.108498,22.1085,22.4,11.53265,18.1,Campeche,19.8414,-90.5328,daily
2025-11-10 06:00:00+00:00,28.758501,21.258501,1.2,23.910208,13.9,Campeche,19.8414,-90.5328,daily
2025-11-11 06:00:00+00:00,24.4585,18.5585,0.0,20.172853,13.27,Campeche,19.8414,-90.5328,daily
2025-11-12 06:00:00+00:00,25.3085,16.9085,0.0,16.299694,14.93,Campeche,19.8414,-90.5328,daily
2025-11-13 06:00:00+00:00,27.8085,17.9585,0.4,12.730467,13.66,Campeche,19.8414,-90.5328,daily
2025-11-14 06:00:00+00:00,29.4585,19.6585,0.0,13.288341,18.09,Campeche,19.8414,-90.5328,daily
2025-11-15 06:00:00+00:00,30.008501,19.9085,0.0,14.128566,18.45,Campeche,19.8414,-90.5328,daily
2025-11-16 06:00:00+00:00,29.8085,20.1085,0.2,10.8015,18.23,Campeche,19.8414,-90.5328,daily
2025-11-17 06:00:00+00:00,31.2085,21.9585,0.2,10.656547,13.85,Campeche,19.8414,-90.5328,daily
2025-11-18 06:00:00+00:00,31.6585,21.3585,0.0,12.72283,18.54,Campeche,19.8414,-90.5328,daily
2025-11-19 06:00:00+00:00,30.9085,21.258501,0.0,11.019764,17.77,Campeche,19.8414,-90.5328,daily
2025-10-20 06:00:00+00:00,29.7605,22.2605,1.7000002,12.096214,13.28,Chiapas,16.7569,-93.1292,daily
2025-10-21 06:00:00+00:00,30.7605,22.1105,1.5,18.329973,14.56,Chiapas,16.7569,-93.1292,daily
2025-10-22 06:00:00+00:00,30.6105,22.2605,3.8999999,16.928614,19.66,Chiapas,16.7569,-93.1292,daily
2025-10-23 06:00:00+00:00,32.0105,21.3105,0.4,15.697197,20.76,Chiapas,16.7569,-93.1292,daily
2025-10-24 06:00:00+00:00,31.1605,20.6605,1.6,17.49337,20.88,Chiapas,16.7569,-93.1292,daily
2025-10-25 06:00:00+00:00,32.9105,19.6605,0.0,14.508715,21.92,Chiapas,16.7569,-93.1292,daily
2025-10-26 06:00:00+00:00,32.9605,20.3105,0.0,17.504478,20.33,Chiapas,16.7569,-93.1292,daily
2025-10-27 06:00:00+00:00,33.3605,20.0105,0.0,19.229696,21.68,Chiapas,16.7569,-93.1292,daily
2025-10-28 06:00:00+00:00,32.6605,20.8605,0.4,13.902015,20.68,Chiapas,16.7569,-93.1292,daily
2025-10-29 06:00:00+00:00,29.1105,20.6105,0.6,22.350462,19.4,Chiapas,16.7569,-93.1292,daily
2025-10-30 06:00:00+00:00,27.210499,19.210499,0.90000004,17.63816,16.1,Chiapas,16.7569,-93.1292,daily
2025-10-31 06:00:00+00:00,30.3105,18.4105,0.0,15.4642935,20.99,Chiapas,16.7569,-93.1292,daily
2025-11-01 06:00:00+00:00,31.9105,19.2605,0.0,14.734735,20.04,Chiapas,16.7569,-93.1292,daily
2025-11-02 06:00:00+00:00,29.1105,19.460499,0.0,23.842358,21.14,Chiapas,16.7569,-93.1292,daily
2025-11-03 06:00:00+00:00,31.4105,18.3605,0.1,21.007627,20.7,Chiapas,16.7569,-93.1292,daily
2025-11-04 06:00:00+00:00,29.6105,18.0605,0.0,20.64436,19.28,Chiapas,16.7569,-93.1292,daily
2025-11-05 06:00:00+00:00,29.710499,19.1105,0.0,17.884428,16.32,Chiapas,16.7569,-93.1292,daily
2025-11-06 06:00:00+00:00,28.0605,20.460499,0.2,17.477621,16.56,Chiapas,16.7569,-93.1292,daily
2025-11-07 06:00:00+00:00,32.0605,20.4105,0.1,8.2584505,19.12,Chiapas,16.7569,-93.1292,daily
2025-11-08 06:00:00+00:00,33.1105,20.4105,0.2,14.000713,19.88,Chiapas,16.7569,-93.1292,daily
2025-11-09 06:00:00+00:00,31.3105,21.2605,0.1,18.865683,19.01,Chiapas,16.7569,-93.1292,daily
2025-11-10 06:00:00+00:00,28.8605,20.3105,12.4,17.399586,6.68,Chiapas,16.7569,-93.1292,daily
2025-11-11 06:00:00+00:00,25.8105,18.4105,0.3,20.778112,17.99,Chiapas,16.7569,-93.1292,daily
2025-11-12 06:00:00+00:00,27.6605,16.8605,0.0,18.745079,19.53,Chiapas,16.7569,-93.1292,daily
2025-11-13 06:00:00+00:00,28.4105,15.5105,0.0,19.121557,18.14,Chiapas,16.7569,-93.1292,daily
2025-11-14 06:00:00+00:00,28.4105,17.1105,0.0,15.7908325,15.47,Chiapas,16.7569,-93.1292,daily
2025-11-15 06:00:00+00:00,28.7605,19.8105,0.0,14.174356,15.42,Chiapas,16.7569,-93.1292,daily
2025-11-16 06:00:00+00:00,31.8605,20.710499,1.5,10.304114,18.43,Chiapas,16.7569,-93.1292,daily
2025-11-17 06:00:00+00:00,31.8105,20.6605,0.3,9.801326,18.84,Chiapas,16.7569,-93.1292,daily
2025-11-18 06:00:00+00:00,32.5105,21.1605,0.3,14.618837,18.15,Chiapas,16.7569,-93.1292,daily
2025-11-19 06:00:00+00:00,33.0605,21.7605,0.9,15.210799,18.8,Chiapas,16.7569,-93.1292,daily
